time_s,propensity_tau_r_20s,propensity_tau_r_60s,propensity_tau_r_100s,propensity_tau_r_160s
0.25,10.0,10.0,10.0,10.0
5.25,10.0,10.0,10.0,10.0
10.25,10.0,10.0,10.0,10.0
15.25,10.0,10.0,10.0,10.0
20.25,10.0,10.0,10.0,10.0
25.25,10.0,10.0,10.0,10.0
30.25,10.0,10.0,10.0,10.0
35.25,10.0,10.0,10.0,10.0
40.25,10.0,10.0,10.0,10.0
45.25,10.0,10.0,10.0,10.0
50.25,10.0,10.0,10.0,10.0
55.25,10.0,10.0,10.0,10.0
60.25,10.0,10.0,10.0,10.0
65.25,10.0,10.0,10.0,10.0
70.25,9.324903663837127,10.0,10.0,10.0
75.25,9.324903663837127,10.0,10.0,10.0
80.25,9.324903663837127,9.22391205897525,10.0,10.0
85.25,9.324903663837127,9.22391205897525,10.0,10.0
90.25,9.324903663837127,9.22391205897525,10.0,10.0
95.25,9.324903663837127,9.22391205897525,10.0,10.0
100.25,9.324903663837127,9.22391205897525,10.0,10.0
105.25,9.324903663837127,9.22391205897525,10.0,10.0
110.25,9.324903663837127,9.22391205897525,10.0,10.0
115.25,8.254541260886374,9.22391205897525,10.0,10.0
120.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
125.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
130.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
135.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
140.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
145.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
150.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
155.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
160.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
165.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
170.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
175.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
180.25,6.086319706279899,7.061578916021662,8.915889010693396,10.0
