time_s,rest_time_s,energy,food_items,searching,grabbing,deposit,homing,resting,avoidance,gamma_f,gamma_r,gamma_l,entered_deposit,completed_deposit
300.25,80.0,-976.7507613451581,3.060775282051623,2.8238589858697094,1.1249215018689216,0.5603303928663265,0.07151855726750767,3.2743608787250436,0.1450096834024834,0.008962676341674913,0.004585747036667698,0.009285106164969179,0.009370333797421528,0.009397800608808285
305.25,80.0,-854.0693704762455,3.0717318045693935,2.7791341728128223,1.12970864292282,0.5620255099046237,0.07695107543807915,3.3094498587059045,0.1427307402157427,0.008995136670978732,0.004544506192821318,0.009045027934217275,0.00954703341335497,0.009341049426992614
310.25,80.0,-731.8198069184116,3.0778140709546826,2.7636754009289883,1.1293210624740975,0.5695901372197135,0.038779601103246825,3.35797907257536,0.14065472569858567,0.009013701493734039,0.004480658023331308,0.008916667013245049,0.009832281500027951,0.00930408036183992
315.25,80.0,-607.853620928599,3.080827917253269,2.770936094008275,1.128428283108748,0.5799473647983416,0.04045331094446992,3.340019490072784,0.14021545706737323,0.009022587596711595,0.00450299062355819,0.008938219152990628,0.009866305560393961,0.009370333797421528
320.25,80.0,-479.77783625911894,3.083088797723001,2.775275652621394,1.1275537746607907,0.5886430068463785,0.04154994820127291,3.3260683213333437,0.14090929633681232,0.009029219068098282,0.004520348145036102,0.008952356569330227,0.009879990597552056,0.00954703341335497
325.25,80.0,-342.50559825640755,3.086861115072958,2.781097559434157,1.1287677604183801,0.5909529558817112,0.04209052584065161,3.315546062156484,0.14154513626860837,0.009039831661119324,0.0045334902360610885,0.008978663922526454,0.009747777628947785,0.009832281500027951
330.25,80.0,-199.48606662347024,3.091448681476888,2.785997758546071,1.1311107236634346,0.5893792357763669,0.042757026884015795,3.3086270264539275,0.14212822867617592,0.009053301498218147,0.004542177244137746,0.009005033305886428,0.009780402419818854,0.009866305560393961
335.25,80.0,-55.205342258741865,3.095793653895679,2.7879877109542917,1.1333869555127862,0.587295143827309,0.04368820610768372,3.305173767176071,0.14246821642184992,0.009065978301547872,0.004546617168383449,0.009015580925472352,0.009783665795392936,0.009879990597552056
340.25,80.0,85.93831734306272,3.1000731930532948,2.7875312103355716,1.135669869233552,0.5867879220196497,0.04438494704713305,3.3029893508139283,0.14263670055015767,0.009078475396314789,0.004549295138424503,0.009013030236937983,0.009790775536434941,0.009747777628947785
345.25,80.0,225.3741846341768,3.1039762060878915,2.78503193541696,1.1375555233732229,0.5874724753889833,0.04488103833508146,3.3023779032820055,0.1426811242037398,0.009089935754936995,0.004550223580112145,0.008998703012769392,0.009818846361728814,0.009780402419818854
350.25,80.0,365.3212368002487,3.1073010822627447,2.7805546063992237,1.138874809002989,0.5884925716329209,0.04537856390367058,3.30416330717586,0.1425361418853287,0.009099711377884345,0.004548166055667768,0.0089724019196428,0.009847199054950214,0.009783665795392936
355.25,80.0,505.5264216124709,3.1100564328476343,2.774013578318752,1.1396613602819765,0.590016760205647,0.04592963917602925,3.3081663520636897,0.14221230995389722,0.009107827926192802,0.004543393226283499,0.008933857081578272,0.009876007593506807,0.009790775536434941
360.25,80.0,646.7178783626969,3.112219361815151,2.765361461003616,1.139910127898058,0.5917568442727269,0.04653376561702011,3.3147393802429326,0.14169842096563798,0.009114222385652404,0.004535493617721209,0.008882763375704783,0.009906538496664813,0.009818846361728814
365.25,80.0,789.4217026505758,3.1137494196838,2.7545274804234348,1.1396045095857334,0.5935516625789312,0.047196742918244466,3.3241399472781454,0.14097965721550276,0.009118777931561128,0.0045241261434806335,0.008818633956912738,0.009939155692989112,0.009847199054950214
370.25,80.0,933.7485830815399,3.1146057863132177,2.7414609920796953,1.1387252814161226,0.5954506465344029,0.04791246283998393,3.3363976275962304,0.14005298953355638,0.009121375507579299,0.004509252019908594,0.008741073788487402,0.009973830885050406,0.009876007593506807
375.25,80.0,1079.873157292476,3.1147455121660523,2.726169926664796,1.1372497749927306,0.5974738496490861,0.04866840033638338,3.351519025699585,0.1389190226574106,0.00912189039676592,0.0044908608241580605,0.00864995027063274,0.01001072681965175,0.009906538496664813
