time_s,macro_energy,micro_energy_mean,micro_energy_std
305.25,-1028.4598259908098,1660.1,2895.4697874438266
310.25,-881.2484059231011,1822.775,3417.3958313495086
315.25,-731.9698502470749,1976.225,3640.514018394243
320.25,-577.7425664125547,2122.025,3627.695810445661
325.25,-412.4410266431174,2264.9,3838.304399731736
330.25,-240.21866660873567,2809.125,4206.505793485253
335.25,-66.477593806613,2562.8,4276.7712658032115
340.25,103.48586421183057,3133.125,3786.3429672475527
345.25,271.39281974535083,3705.7,2934.2938115498932
350.25,439.9153378147986,3675.8,3087.7109701200984
355.25,608.7486960402331,4850.175,2830.2638062776055
360.25,778.7697107966274,5625.225,1626.595748987744
365.25,950.6118999310953,5605.45,1549.4398253885176
370.25,1124.4085533001955,5785.0,1942.4274439473922
375.25,1300.3699673972253,5553.075,1936.263276423173
380.25,1478.748023845852,6120.475,2142.915620276496
385.25,1659.7918090028154,6487.425,2252.6647166467096
390.25,1843.6262140617157,7470.125,2135.486075376049
395.25,2028.1190501606297,7674.875,2542.607102586831
400.25,2215.5006997980854,7879.625,2972.3271948298357
405.25,2405.657130492658,8286.625,2674.703012135179
410.25,2596.6525627582723,8085.75,2703.5332229325386
415.25,2786.659448095843,8477.45,3183.8123252635355
420.25,2974.629635629973,8665.1,3178.2470840858173
425.25,3164.476337642554,8660.175,3270.5484709181424
430.25,3356.341650685132,9059.75,3589.244546210247
435.25,3547.6983743419996,9072.15,3805.2979091655884
440.25,3739.4625993725126,9079.825,3892.5276557302714
445.25,3931.8510148162554,9481.2,3163.802105062831
450.25,4124.758774735979,9676.275,3483.0229030434184
455.25,4318.063415370642,9459.425,3468.5538846362183
460.25,4511.596112688926,9837.4,3304.589290290096
465.25,4705.251668382626,10023.025,3265.4892406230647
470.25,4898.852678914177,10007.525,3485.3024267091946
475.25,5092.247111401945,9994.95,3427.032095706137
480.25,5285.300136256993,10379.0,3620.686385203778
485.25,5477.863957589582,10365.75,3356.0122969828344
490.25,5669.813693766896,10335.4,3272.220748589557
495.25,5861.124772116113,11507.975,4232.786460255821
500.25,6051.807749447655,11487.3,4532.492240478741
505.25,6241.849880840239,11848.4,4740.701195762078
510.25,6431.233841902136,11817.825,4754.024833036214
515.25,6620.167589834357,11981.85,4799.152674170723
520.25,6809.1015063396435,12143.85,4563.358479782188
525.25,6998.039370037544,11913.725,4606.256265192483
530.25,7186.732715486678,12495.3,4430.531391379594
535.25,7374.838814942948,12278.45,4472.949937960406
540.25,7562.466040070742,12867.675,4243.277693967837
545.25,7749.779151905575,13259.15,4133.98912250625
550.25,7936.700433083157,14073.35,4610.675978368031
555.25,8123.260475231726,14503.3,4385.871046325918
560.25,8309.506178008216,14320.875,4422.211667042296
565.25,8495.4619815555,14943.175,3824.621474816168
570.25,8681.166747994796,15565.925,3136.4331434170567
575.25,8866.666409419988,15593.85,2870.429354208182
580.25,9052.014329173324,15819.75,2695.853012035337
585.25,9237.264122035549,15842.95,2717.335493640783
590.25,9422.399524817862,15853.1,2862.459279623031
595.25,9607.535072010403,15649.525,2864.1686412683525
600.25,9792.713971343925,15844.6,3118.6590251260236
605.25,9977.915526514373,15830.675,3536.8999138546455
610.25,10163.112667948652,15606.4,3537.6390329568676
615.25,10348.28468384093,15769.75,3369.581350108645
620.25,10533.53730827366,15944.575,3416.9795197110852
625.25,10718.868081968229,16516.025,3667.690735411725
630.25,10904.189509782147,16485.0,3582.468237821516
635.25,11089.556776590758,17053.075,3417.970370062473
640.25,11275.011516871631,17021.825,3604.459562559275
645.25,11460.573594277095,16783.825,3617.2096895431705
650.25,11646.246642194146,17757.075,4128.127741558514
655.25,11832.031819348666,17523.575,4159.3088398945565
660.25,12017.938273888112,17890.975,3656.557427160826
665.25,12203.964551195402,18061.075,3527.693417890081
670.25,12390.107862962905,18232.75,3320.348281807196
675.25,12576.36466985442,18403.075,3143.3430035751744
680.25,12762.727175540813,18156.3,3133.144310832171
685.25,12949.185404969523,18512.45,3695.2853320142954
690.25,13135.73124497654,18678.95,4248.459519049228
695.25,13322.356315846424,18857.375,3993.680502133965
700.25,13509.049822199751,18831.525,3854.0599006923853
705.25,13695.797528880821,19009.95,4236.283717481632
710.25,13882.597677871603,19603.9,4691.198756980992
715.25,14069.461662036738,19392.0,4719.370903520935
720.25,14256.387160054936,19585.95,5037.43728472127
725.25,14443.360055290099,19785.3,5251.651584025734
730.25,14630.3612327113,19985.55,5155.863274952119
735.25,14817.390478997571,20593.675,5074.197995804361
740.25,15004.448823579747,20413.275,5080.497626278848
745.25,15191.522986447208,20831.975,4927.53799256028
750.25,15378.60498927022,21242.125,4420.984351999564
755.25,15565.689050100184,21256.1,4741.120270041671
760.25,15752.768958772886,21073.0,4733.9984764467345
765.25,15939.839554123804,21289.45,4783.328312744172
770.25,16126.896382456738,21503.2,4350.90919061752
775.25,16313.936297341595,21311.775,4352.482708825504
780.25,16500.95694680928,21914.95,4214.690084691875
785.25,16687.95459439583,21904.625,4129.404946917291
790.25,16874.930423785485,22091.375,4311.831290545237
795.25,17061.884302670467,22480.6,4575.239282267104
800.25,17248.81468190334,22467.35,4634.016906529367
805.25,17435.720359700324,22657.475,4778.990668083063
810.25,17622.600484778362,23244.0,4968.322289767442
815.25,17809.45757962374,23629.625,5017.9571269715925
820.25,17996.290686077093,24020.2,4805.159181546434
825.25,18183.09597856631,24421.575,4072.3202140333956
830.25,18369.87555691971,24418.225,4073.7790048829356
835.25,18556.631918258834,24405.425,4192.692389816477
840.25,18743.366798763138,24599.6,4644.52482391902
845.25,18930.081205460672,25196.025,4932.087308445076
850.25,19116.77654254864,25608.875,5221.8130893996
855.25,19303.45519559166,25629.375,5025.415725651461
860.25,19490.11905813644,25643.575,5098.830711606828
865.25,19676.770045634115,25654.85,4959.0231563282705
870.25,19863.410164213376,25846.1,5198.231701982897
875.25,20050.041222602642,25635.325,5185.207288587892
880.25,20236.66488093473,25621.175,5484.32628502581
885.25,20423.2827671385,25393.3,5474.809838935047
890.25,20609.896379478963,25551.475,5202.20907097408
895.25,20796.50697159238,25709.2,5194.231029228485
900.25,20983.115433041374,25669.4,5204.971487914222
905.25,21169.723039645374,26245.575,4815.746928112502
910.25,21356.331517583392,26430.975,4842.708442145263
915.25,21542.942091764762,26623.8,5156.367454177407
920.25,21729.55547233455,27022.475,4501.170452573974
925.25,21916.172137333764,27433.525,4532.298762010841
930.25,22102.793220563784,27650.875,4581.972917382314
935.25,22289.41976003035,27870.025,4308.843520090396
940.25,22476.051941317615,28491.875,4834.983054843626
945.25,22662.690024087064,28515.075,5254.911510969999
950.25,22849.334275309146,28730.625,5254.081438807834
955.25,23035.984812822473,28726.15,5252.895507717625
960.25,23222.641645811276,28713.8,5208.356124776799
965.25,23409.304674103405,28687.05,5339.378229016933
970.25,23595.973762394126,29249.275,5444.541743170403
975.25,23782.648712873124,29211.275,5167.778264701863
980.25,23969.329211195058,29578.9,4709.370808823616
985.25,24156.015046092933,29753.725,5120.501146677442
990.25,24342.705928945008,30137.55,4727.095774362944
995.25,24529.401494661717,30724.975,4742.376604153765
1000.25,24716.10137207883,31127.25,4285.187974290043
1005.25,24902.80518239026,31525.025,4229.07057822697
1010.25,25089.512608541776,31523.025,3944.919917517338
1015.25,25276.22318477011,32116.975,3912.4930262717403
1020.25,25462.93631638378,32114.975,3763.178995958736
1025.25,25649.651615996547,32519.275,4077.9516494957365
1030.25,25836.368721417715,32532.35,4029.888302112107
1035.25,26023.08723189782,32550.15,3975.9996733526023
1040.25,26209.8067169514,32962.1,4036.7631993343375
1045.25,26396.52679125871,32979.675,4225.068813123048
1050.25,26583.247151577754,33191.175,3624.710240229555
1055.25,26769.967493658336,33198.4,3730.375469037936
1060.25,26956.687541202595,33392.575,3919.601429115593
1065.25,27143.40705743741,34395.75,3603.9176686628125
1070.25,27330.125831378038,34401.625,3888.07075593089
1075.25,27516.843679403788,34610.65,4347.553309333883
1080.25,27703.560447713357,34430.7,4388.598732511324
1085.25,27890.276008575474,34632.525,4003.18936513438
1090.25,28076.99025353983,34610.275,4068.3624492079116
1095.25,28263.703084408513,34379.925,4071.4550716697095
1100.25,28450.414442395275,34533.6,4145.6152577150715
1105.25,28637.124310420848,34687.05,4200.947666598573
1110.25,28823.832679681764,35248.375,4603.582525123776
1115.25,29010.539547829536,36223.425,3287.788793494041
1120.25,29197.24493082754,36411.75,3539.5798073358933
1125.25,29383.948893110468,36795.125,4072.394078195896
1130.25,29570.651515649934,37188.175,4094.4697764942653
1135.25,29757.35285960315,37790.675,3830.7482266033876
1140.25,29944.053004035657,37789.575,3833.7213677607037
1145.25,30130.752043552642,37783.075,3649.721948398946
1150.25,30317.450076808964,38367.8,4253.906999453561
1155.25,30504.147203933055,38360.4,4158.713970688535
1160.25,30690.84352472726,38557.5,4006.775761132634
1165.25,30877.539141789122,38759.1,3694.1115765499017
1170.25,31064.234156564795,38767.9,3530.834439619054
1175.25,31250.928666084706,39585.925,3970.863122562272
1180.25,31437.622769285037,39813.4,3815.974279590993
1185.25,31624.31656041957,40045.825,3564.65987867356
1190.25,31811.01012813406,40475.1,3417.6918932958247
1195.25,31997.703557375742,40703.25,3703.1050434061412
1200.25,32184.39692866294,40732.075,3877.214950918378
1205.25,32371.090318628205,40550.775,3884.2108697423987
1210.25,32557.783792356833,40557.55,3873.4215862722717
1215.25,32744.477403234017,40563.425,3829.5888422420758
1220.25,32931.17120470548,41375.6,3438.423118233124
1225.25,33117.865243696804,42197.225,3505.3205995493477
1230.25,33304.55955709958,42429.875,3655.46659684164
